TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,ORDINAL_POSITION
dbo,AccessControl,ID,int,,10.0,0.0,NO,1
dbo,AccessControl,LoginName,varchar,50.0,,,YES,2
dbo,AccessControl,Source,varchar,50.0,,,YES,3
dbo,AccessControl,OptionName,varchar,255.0,,,YES,4
dbo,AccessControl,OptionValue,int,,10.0,0.0,YES,5
dbo,AccessControl,SettingValue,varchar,255.0,,,YES,6
dbo,AccessControl,CreateOpr,varchar,50.0,,,YES,7
dbo,AccessControl,CreateDatim,datetime,,,,YES,8
dbo,AccessControl,UpdateOpr,varchar,50.0,,,YES,9
dbo,AccessControl,UpdateDatim,datetime,,,,YES,10
dbo,AccountingPeriods,RelativeYear,smallint,,5.0,0.0,NO,1
dbo,AccountingPeriods,CreateOpr,varchar,50.0,,,YES,2
dbo,AccountingPeriods,CreateDatim,datetime,,,,YES,3
dbo,AccountingPeriods,UpdateOpr,varchar,50.0,,,YES,4
dbo,AccountingPeriods,UpdateDatim,datetime,,,,YES,5
dbo,AccountingPeriods,YearEnd,datetime,,,,YES,6
dbo,AccountingPeriods,YearDisplay,smallint,,5.0,0.0,YES,7
dbo,AccountingPeriods,Period1Name,varchar,10.0,,,YES,8
dbo,AccountingPeriods,Period2Name,varchar,10.0,,,YES,9
dbo,AccountingPeriods,Period3Name,varchar,10.0,,,YES,10
dbo,AccountingPeriods,Period4Name,varchar,10.0,,,YES,11
dbo,AccountingPeriods,Period5Name,varchar,10.0,,,YES,12
dbo,AccountingPeriods,Period6Name,varchar,10.0,,,YES,13
dbo,AccountingPeriods,Period7Name,varchar,10.0,,,YES,14
dbo,AccountingPeriods,Period8Name,varchar,10.0,,,YES,15
dbo,AccountingPeriods,Period9Name,varchar,10.0,,,YES,16
dbo,AccountingPeriods,Period10Name,varchar,10.0,,,YES,17
dbo,AccountingPeriods,Period11Name,varchar,10.0,,,YES,18
dbo,AccountingPeriods,Period12Name,varchar,10.0,,,YES,19
dbo,AccountingPeriods,Era1Date,datetime,,,,YES,20
dbo,AccountingPeriods,Era2Date,datetime,,,,YES,21
dbo,AccountingPeriods,Era3Date,datetime,,,,YES,22
dbo,AccountingPeriods,Era4Date,datetime,,,,YES,23
dbo,AccountingPeriods,Era5Date,datetime,,,,YES,24
dbo,AccountingPeriods,Era6Date,datetime,,,,YES,25
dbo,AccountingPeriods,Era7Date,datetime,,,,YES,26
dbo,AccountingPeriods,Era8Date,datetime,,,,YES,27
dbo,AccountingPeriods,Era9Date,datetime,,,,YES,28
dbo,AccountingPeriods,Era10Date,datetime,,,,YES,29
dbo,AccountingPeriods,Era11Date,datetime,,,,YES,30
dbo,AccountingPeriods,Era12Date,datetime,,,,YES,31
dbo,AccountingPeriods,Era1,int,,10.0,0.0,YES,32
dbo,AccountingPeriods,Era2,int,,10.0,0.0,YES,33
dbo,AccountingPeriods,Era3,int,,10.0,0.0,YES,34
dbo,AccountingPeriods,Era4,int,,10.0,0.0,YES,35
dbo,AccountingPeriods,Era5,int,,10.0,0.0,YES,36
dbo,AccountingPeriods,Era6,int,,10.0,0.0,YES,37
dbo,AccountingPeriods,Era7,int,,10.0,0.0,YES,38
dbo,AccountingPeriods,Era8,int,,10.0,0.0,YES,39
dbo,AccountingPeriods,Era9,int,,10.0,0.0,YES,40
dbo,AccountingPeriods,Era10,int,,10.0,0.0,YES,41
dbo,AccountingPeriods,Era11,int,,10.0,0.0,YES,42
dbo,AccountingPeriods,Era12,int,,10.0,0.0,YES,43
dbo,AccountingPeriods,GL1Name,varchar,10.0,,,YES,44
dbo,AccountingPeriods,GL2Name,varchar,10.0,,,YES,45
dbo,AccountingPeriods,GL3Name,varchar,10.0,,,YES,46
dbo,AccountingPeriods,GL4Name,varchar,10.0,,,YES,47
dbo,AccountingPeriods,GL5Name,varchar,10.0,,,YES,48
dbo,AccountingPeriods,GL6Name,varchar,10.0,,,YES,49
dbo,AccountingPeriods,GL7Name,varchar,10.0,,,YES,50
dbo,AccountingPeriods,GL8Name,varchar,10.0,,,YES,51
dbo,AccountingPeriods,GL9Name,varchar,10.0,,,YES,52
dbo,AccountingPeriods,GL10Name,varchar,10.0,,,YES,53
dbo,AccountingPeriods,GL11Name,varchar,10.0,,,YES,54
dbo,AccountingPeriods,GL12Name,varchar,10.0,,,YES,55
