table_name,row_count
SystemLog,2146273
OrderValue,503758
OrderProcess,472964
GLTransaction,252263
OrderComponentText,167131
StoreInventory,157162
OrderUDFields,148665
OrderQtyTable,112116
OrderComponent,108423
Shipment,90599
ProductionJobNumber,84313
OrderPriceChange,83893
Production,76123
OrderUnitCost,74868
GLBatchHeader,73372
EstimateValue,68456
UIFlexPreviousSearch,65233
ARSalesDistribution,65209
OrderTotals,61568
ARTransactionLine,59845
OrderHeader,58708
MaterialOnHandChange,58562
Package,56067
ARTransactionTax,55200
EstimateProcess,49245
SystemEventLog,46905
CreditCard,44393
AllenStoreInventory,42438
ZipCodeTaxTable,41575
OrderCombineQuote,34281
MaterialUsage,33113
UIFlexColumn,22965
MaterialAdjustment,14678
EstimateComponentText,12916
EstimateQtyTable,12838
ARTransaction,12248
POLineItem,11296
POReceipt,11269
AvaTaxAddresses,11150
APTransactionLine,11072
EstimateComponent,9878
EstimateUnitCost,9571
EstimateUDFields,6180
Material,5196
MaterialUnitCost,5066
MaterialAllocation,5060
POHeader,5003
EstimateTotals,4775
APTransaction,4440
MaterialTransfer,4105
OrderImage,4052
SummaryFigures,3533
CustomerShipTo,3448
IdgProdLabel,3126
EstimateCombineQuote,3097
PODropShip,3043
EstimateHeader,3038
AccessControl,2824
MaterialOnHand,2705
TemplateHeader,1779
UIFlexHeader,1760
ARCustomerBalances,1615
Customer,1615
UDFHeader,1141
BatchHeader,1030
Materials-Test,1026
CBBatchHeader,1019
CBTransactionLine,982
CBTransaction,982
TempPackage,910
TempQuoteReport,875
Vendor,763
Location,725
MainMenuIcon,604
APBatchHeader,370
UDFList,364
CRMEventAssign,300
DiaryNoteAlert,258
TempAnalysis,236
DepartmentEmployee,233
CostCenterNotes,210
ProcessSchedule,188
GLAccount,187
Employee,181
VendorBalances,180
TempCheckRegister,180
DepartmentProcess,176
MaterialCategory,174
Process,157
DiaryNote,132
MainMenu,125
CalendarCostCenter,109
Notes,107
CRMEvent,101
CRMEventItem,101
CRMEmailAttachment,100
StoreInventory$,99
UserLogIn,91
AllenStoreInventorySkid,80
ScheduleFieldOption,68
CRMPreference,66
ScheduleOption,63
ShopLogIn,63
ChartItem,57
XMLLog,57
ProcessPrice,56
SalesRep,55
CostCenter,52
DepartmentCostCenter,45
VendorContact,44
ShipViaService,42
SupportWebSites,40
CustomReportFile,40
EstimateInLineOp,38
Department,34
